('2017-05-09 22:55:53', 'RT @cloudyBlake: This was fascinating to listen to:\nhttps://t.co/2LaQW4vQCg\nFormer $LQMT employee now works for JPL. $AAPL\n#Liquidmetal')
('2017-05-09 22:55:38', 'RT @MarketSmith: Apple Up, Nasdaq Leads Stocks; Will Nvidia, Coherent Jam On Q1 Results? https://t.co/y6PGEcCbxq $NVDA $COHR $PRI $KRNT $AA…')
('2017-05-09 22:55:08', 'Another 25% for $AAPL to reach the $1T mark.\n$GOOGL $MSFT $XOM $GE https://t.co/aiAUKxygzB')
('2017-05-09 22:54:56', '$AAPL red in after hours...thats weird')
('2017-05-09 22:54:40', "Apple bought new battery cell lifecycle testing machines developed by Tesla's battery research…… https://t.co/F42F1MukAw")
('2017-05-09 22:53:07', 'RT @traderstewie: While everyone is talkin $AAPL, $AMZN and $GOOGL.\n\n$BABA is quietly ripping higher. \nPosting this chart only to show you…')
('2017-05-09 22:52:33', 'RT @brent_whiteside: $evsv .0003 on the move, was .0008 recently\n$BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING')
('2017-05-09 22:50:43', '$AAPL buys sleep monitoring startup beddit')
('2017-05-09 22:49:22', 'RT @brent_whiteside: $evsv .0003 on the move, was .0008 recently\n$BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING')
('2017-05-09 22:49:04', 'Stock Market Commentary For Wed, May 10 $TSLA, $JWN, $KKR, $APC, $YELP, $PCLN, $AAPL, $DDS, $TRIP, $NVDA, $MAR https://t.co/npLF0wbg5H')
('2017-05-09 22:48:47', 'RT @BK_Stocks: $MRNJ vol alert, from 8M to 23M in 15 mins! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mon…')
('2017-05-09 22:48:32', 'RT @brent_whiteside: $evsv .0003 on the move, was .0008 recently\n$BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING')
('2017-05-09 22:48:03', 'Are you Bullish or Bearish on #Apple? Start #Trading $AAPL with #Bitcoin. 15:1 Leverage. #Stocks #Blockchain #BTC… https://t.co/KucixgoSRp')
('2017-05-09 22:47:54', 'Just for all those $AAPL shareholders out there...$172.62 = $900B and $191.80 = 1T!! Ex-div Thursday btw')
('2017-05-09 22:45:41', 'Stock Market Commentary For Wed, May 10 $TSLA, $JWN, $KKR, $APC, $YELP, $PCLN, $AAPL, $DDS, $TRIP, $NVDA, $MAR, $COP https://t.co/npLF0wbg5H')
('2017-05-09 22:45:17', '15 of Steve #Jobs most inspiring quotes https://t.co/LwBCcVdA2H $AAPL')
('2017-05-09 22:44:44', 'RT @advfn: Just saw some interesting Follow Feed activity for $AAPL https://t.co/yZMBjmXIWv #stocks #shares #followFeed via @advfn')
('2017-05-09 22:44:07', 'Why access a ticker when you can access a group of tickers - US Tech Giants https://t.co/J74uV6qAnD $AAPL $GOOGL $MSFT $FB')
('2017-05-09 22:43:12', '$AAPL #patent 9,646,137: Systems and methods for providing audio and visual cue... https://t.co/IqrMznRaDx #tech #IP https://t.co/98ajiWi5ye')
('2017-05-09 22:39:27', 'RT @sharkbiotech: $AAPL accounts for 102% of the #DJI gain this year')
('2017-05-09 22:39:16', 'RT @kirillklip: InvestorIntel: International #Lithium Has A Giant’s Attention. https://t.co/IutVoZ9aIv $ILC.v $TSLA $GM $F $AAPL #Tesla #Ba…')
('2017-05-09 22:37:35', 'RT @masamikan: .@NaviAvatar1 on #Periscope: Dow up 5, $AAPL $AMZN $TSLA $FB $TWTR $SNAP $NFLX $LABU $SPY https://t.co/W61TwQVnH7')
('2017-05-09 22:31:54', 'RT @MacHashNews: The Week in Apple News and Rumors: Apple Q2 2017 earnings, iPhone 8 rumors, Apple Park drone… https://t.co/SIXBQ7fKWW #Mac…')
('2017-05-09 22:31:10', 'Just saw some interesting Follow Feed activity for $AAPL https://t.co/yZMBjmXIWv #stocks #shares #followFeed via @advfn')
('2017-05-09 22:30:17', 'RT @BK_Stocks: $MRNJ vol alert, from 8M to 23M in 15 mins! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mon…')
('2017-05-09 22:29:22', 'RT @ihors3: $AAPL shorts down $1.7 billion in net of financing mark to market P/L in 2017 versus a $3.6 billion loss for $TSLA https://t.co…')
('2017-05-09 22:29:00', "RT @bespokeinvest: Apple's average y/y gain since going public in 1982 is over 30%. $AAPL")
('2017-05-09 22:28:56', 'RT @BK_Stocks: $MRNJ vol alert, from 8M to 23M in 15 mins! $BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING #mon…')
('2017-05-09 22:26:41', 'RT @MacHashNews: Apple sends press invites for WWDC 2017, officially announces keynote event for June 5 10AM PT https://t.co/2FFYR0bofi #9t…')
('2017-05-09 22:26:30', 'RT @brent_whiteside: $evsv .0003 on the move, was .0008 recently\n$BKD $AMLH $ELED $MMEX $SPY $DOLV $ENRT $AAPL $NXTD $ASTI $DBMM $CBIS $SING')
