('2017-05-09 17:39:10', 'JPMorgan Tells Banks to Partner Up as U.S. Deposit Drain Looms - Bloomberg https://t.co/XbrIaMsFuq $JPM'),,,,,,,,,,,,
('2017-05-09 17:31:51', '$JPM SocGen, JP Morgan, Credit Suisse to lead ALD Automotive IPO -sources https://t.co/c504KPg5EM'),,,,,,,,,,
('2017-05-09 17:23:39', 'RT @jpmorgan: Student coders are working hard at the Mumbai #Code4Good Challenge while $JPM technologists help provide guidance. https://t.â€_'),,,,,,,,,,,,
('2017-05-09 16:57:35', 'Notice of exempt solicitation https://t.co/71mOSa7lXV $JPM'),,,,,,,,,,,,
('2017-05-09 16:54:48', 'RT @LONGCONVEXITY: JP Morgan tells banks to partner up as U.S. deposit drain is coming https://t.co/8vvssroAQb via @markets $XLF #FED $JPM'),,,,,,,,,,,,
('2017-05-09 16:47:11', '$JPM A New 100,000-Point Offer for Chase Sapphire Cardholders https://t.co/W8gG78c7vZ'),,,,,,,,,,,
('2017-05-09 16:44:29', '$GS $JPM LOD'),,,,,,,,,,,,
('2017-05-09 16:34:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/EIDpGExmQo'),,,,,,,,,,,,
('2017-05-09 16:26:03', 'Perfect payment history, FICO &gt;780 and rising, &lt;10% of my revolving accounts drawn. Yet $JPM Chase hiked my Freedom APR by 4% What gives?'),,,,,,,,,,
('2017-05-09 16:25:27', '#JPMorganChase organ partially exits Indian financial services portfolio. Read more: https://t.co/H02Q0q8mAo $JPM'),,,,,,,,,,,,
('2017-05-09 16:24:42', 'You guys are so bad at forecasting you should get a job at a Wall Street Bank. $GS $JPM $WFC $BAC $MS https://t.co/VMV24x1WGn'),,,,,,,,,,,,
('2017-05-09 16:16:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/GhOsjvOgPY'),,,,,,,,,,,,
('2017-05-09 16:04:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/wPWY1zURAd'),,,,,,,,,,,,
('2017-05-09 15:52:38', '#JPMorganChase \n          #organChase provides $25m credit facility to WhistlePig\n          . Read more: https://t.co/wjIdccTlkP $JPM'),,,,,,,,,,,,
('2017-05-09 15:52:16', 'Rising rates good for Banks?  Are they?  $XLF same price as it was on 12/8/16.  4 months of nothing. $SPY $JPM https://t.co/SATY4I0TGH'),,,,,,,,,,,,
('2017-05-09 15:42:02', 'Why is $VRX going up merging with $DCTH #WHAT?\n$SPY $QQQ $IWM $FAS $JPM $C $CACC $OCN $GS $LC $BAC $UVXY\n$AMZN $Pâ€_ https://t.co/DnOZ7eJk1S'),,,,,,,,,,,,
('2017-05-09 15:39:30', 'MUST READ: 8 reasons to expect this unicorn to double: https://t.co/eLdf5WrZ9t $AAPL $SPY $JNJ $JPM $BA $GS $ORCL $MU $SIRI $MMM'),,,,,,,,,,,,
('2017-05-09 15:31:56', 'Chase is offering 100,000 credit-card rewards points for new mortgage customers https://t.co/NwWFaRwafb\n$JPM $AXP'),,,,,,,,,,,
('2017-05-09 15:14:14', 'RT @TalkMarkets: Trading As The Market Climbs The Wall Of Worry $SPX Also $CVX $DAR $JPM $RHT $TER $BIDU $AAPL $AVGO $FLEX $FNSR https://t.â€_'),,,,,,,,,,,,
('2017-05-09 14:59:56', 'Trading As The Market Climbs The Wall Of Worry $SPX Also $CVX $DAR $JPM $RHT $TER $BIDU $AAPL $AVGO $FLEX $FNSR https://t.co/wZUFkptDhF'),,,,,,,,,,,,
('2017-05-09 14:58:49', '$AAPL $FB $AMZN $NFLX $GOOG this money needs a rotation from tech into another sector like financials $BAC $GS $JPM or energy $OIL $USO $XOM'),,,,,,,,,,,,
('2017-05-09 14:48:01', 'The Dodd-Frank Act Explained @themotleyfool #stocks $C, $BAC, $JPM, $WFC https://t.co/yIkzKUByAy'),,,,,,,,,
('2017-05-09 14:43:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/nhHtn8j04i'),,,,,,,,,,,,
('2017-05-09 14:40:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/2xdBqjk1vZ'),,,,,,,,,,,,
('2017-05-09 14:37:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/TK2O9zpStr'),,,,,,,,,,,,
('2017-05-09 14:37:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/SqYzCK8Kf9'),,,,,,,,,,,,
('2017-05-09 14:34:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/zxcNuGeIDm'),,,,,,,,,,,,
('2017-05-09 14:28:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/3zzOpS1SOU'),,,,,,,,,,,,
('2017-05-09 14:22:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/V7IkxHSPvU'),,,,,,,,,,,,
('2017-05-09 14:22:05', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/a8sJqzMgTI'),,,,,,,,,,,,
('2017-05-09 14:17:02', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0000891092-17-003801):\n\nhttps://t.co/FVWZjJ7LU4'),,,,,,,,,,,,
('2017-05-09 14:16:49', 'JPM Top news - May 9th, 2017 $JPM http://https://t.co/O4jX28Z4yY'),,,,,,,,,,,
('2017-05-09 14:16:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/wwFuOwZlsj'),,,,,,,,,,,,
('2017-05-09 14:13:06', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/EXmqA16715'),,,,,,,,,,,,
('2017-05-09 14:02:03', 'Chase ups stakes (again) in credit card reward battle https://t.co/rFxIBnadZg $JPM $AXP #sitifatimah #malaysia #financialplanning'),,,,,,,,,,,,
('2017-05-09 14:00:06', '$JPM:\n\nChase ups stakes (again) in credit card reward battle:\n\nhttps://t.co/jUzmwj2dtM'),,,,,,,,,,,,
('2017-05-09 13:58:39', 'Chase ups stakes (again) in credit card reward battle https://t.co/LRiX5BRRq7 $JPM $AXP'),,,,,,,,,,,,
('2017-05-09 13:58:38', 'Chase ups stakes (again) in credit card reward battle https://t.co/BRIZKk5K79 $JPM $AXP'),,,,,,,,,,,,
('2017-05-09 13:55:19', 'Strong buy on $JPM today, all indicators confirmed signal. Price target: $89.54 (breakout toward $92.64 level)\nhttps://t.co/VRSYPPNLdv'),,,,,,,,,,,
('2017-05-09 13:35:04', '$JPM:\n\nJ.P.Morgan Warns Mid-Sized Banks About Looming Deposit Drain:\n\nhttps://t.co/IKeTpe2FZl'),,,,,,,,,,,,
('2017-05-09 13:30:48', 'J.P.Morgan Warns Mid-Sized Banks About Looming Deposit Drain $JPM https://t.co/SSJkx5lDDZ https://t.co/28uMm8hGFe'),,,,,,,,,,,,
('2017-05-09 13:19:17', 'Wall Street Breakfast: Apple Valuation Reaches $800B -- https://t.co/BiaohAfVMH $AAPL $BABA $JD $JPM $F  $MSFT $WDC $WFC #business #markets'),,,,,,,,,,,,
('2017-05-09 13:16:12'," ""@Lemieux_26 This was in reference to $JPM's loan growth per their Q1 release"")",,,,,,,,,,,,
('2017-05-09 13:01:11', 'Aspen Investment Management Inc Holds Position in JPMorgan Chase &amp; Co. $JPM https://t.co/igaZfV1Oul'),,,,,,,,,,,,
('2017-05-09 13:00:24', 'MUST READ: 8 reasons to expect this unicorn to double: https://t.co/eLdf5WrZ9t $JPM $DUK $HLF $BBEPQ $TVIX $ULTA $LO $AXAS $ECL $DOV'),,,,,,,,,,,,
('2017-05-09 12:59:37', 'JPMorgan Chase &amp; Co. $JPM is Becker Capital Management Inc.â€™s Largest Position https://t.co/2vQblj5MwR'),,,,,,,,,,,,
('2017-05-09 12:52:26', 'UUGH NO! OPERATOR NEXT QUESTION! $AGN $VRX $TWTR $KO $PEP $IEP $AAPL $JNJ $MYL $MRK $AAPL $FB $JPM $TST $IBM $EXEL $IBM $MSFT $BRK $AMZN'),,,,,,,,,,,,
('2017-05-09 12:46:12', '$JPM https://t.co/dZWRGe19sM Pot. intermed bot in Downtrend INTRAWEEK 60m-15m-4m combo chart #trading #stocks https://t.co/U5OZ1TaJJf'),,,,,,,,,,,,
('2017-05-09 12:41:01', 'VALEANT REPORTS ONLY GAAP EPS\n$AGN $VRX $TWTR $KO $PEP $IEP $AAPL $JNJ $MYL $MRK $AAPL $FB $JPM $TST $IBM $EXELâ€_ https://t.co/uYftLAzEZK'),,,,,,,,,,,,
('2017-05-09 12:32:35', '#VALEANT W/ $1.80 EPS &amp; 71% CASH FROM OPERATIONS GROWTH!\n$AGN $VRX $TWTR $KO $PEP $IEP $AAPL $JNJ $MYL $MRK $AAPLâ€_ https://t.co/k6bdieSss8'),,,,,,,,,,,,
('2017-05-09 12:26:49', '@IOOptionsTrades releases options trade reports for $HZNP, $JD, $JPM, $KITE, &amp; $MU : https://t.co/sXWHZfIcHh   â€_\n#OptionsTrading #stocks'),,,,,,,,
('2017-05-09 12:23:45', '#ALLERGAN REPORTS a LOSS 0F $7.86 PER SHARE ON OPERATIONS\n$AGN $VRX $TWTR $KO $PEP $IEP $AAPL $JNJ $MYL $MRK $AAPLâ€_ https://t.co/cpWgB2M8CL'),,,,,,,,,,,,
('2017-05-09 12:23:16'," ""$NVRO $JPM 'convinced' to buy weakness tgt 102", Canaccord stays $120, Leerink tgt to $100," $MS $95 - stock 70's pre"")",,,,,,,,,
('2017-05-09 12:12:25', 'Pegasus Partners Ltd. Has $6.817 Million Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/Oc7NIgyHrC'),,,,,,,,,,,,
('2017-05-09 12:12:24', 'Pegasus Partners Ltd. Has $6.817 Million Stake in JPMorgan Chase &amp; Co. $JPM https://t.co/FCM8GaRCpw'),,,,,,,,,,,,
('2017-05-09 11:30:08', 'This Day in Stock Market History: 1901- The climax of one of the most exciting days in Wall St. history as $JPM buys\nhttps://t.co/HXPocEZkaL'),,,,,,,,,,,,
