('2017-05-01 17:25:57', 'President opens mouth, banks slip https://t.co/j8UtMoVnEe $GS, $MS, $JPM, $C, $BAC, $CVR, $TSO, $VLO')
('2017-05-01 17:25:33', "Well I wonder if the h&amp;s on $JPM will play the gap down to 70's 🤔that's a November 7th 2016 date. Hmm @SantaCruzTrader @biosleuth @rcwhalen")
('2017-05-01 17:25:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/UYtzcqVSIC')
('2017-05-01 17:25:00', "Banks trying to turn and follow-up last week's gap signals $JPM https://t.co/8byzV1HLUE")
('2017-05-01 17:23:27', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 17:22:08', 'President opens mouth, banks slip https://t.co/Qm0d97W4DT $GS $MS $JPM $C - new #investing book = lifetime profits - https://t.co/8smOceW20Z')
('2017-05-01 17:18:01', '$BCEI on Watch $FB $AAPL $GPRO $GOOG $MSFT $INTC $TSLA $F $T $VZ $TWTR $AMZN $NFLX $BAC $C $JPM $MTBC $OCN $REXX $AMPE $ORIG $FNBC $GS $XLF')
('2017-05-01 17:16:55', "#BREAKING TRUMP SAYS HE'S ACTIVELY CONSIDERING BREAKING UP BIG BANKS: BBG\n$C $BAC $GS $JPM $WFC")
('2017-05-01 17:16:14', '$MS $BAC $WFC $JPM $GS $C https://t.co/rBYZ8079i9')
('2017-05-01 17:15:51', '$JPM seems to have brushed off that Trump comment fairly quickly')
('2017-05-01 17:15:32', '$JPM Yeah @potus lets break up the big banks - the ONLY ones willing to buy failing hedge funds on steroids like Bear Stearns - MORONIC')
('2017-05-01 17:12:51', "#FastMoneyEspresso\nFINAL CALLS:\nJoeTerranova—buy $JNPR\nJoshBrown—buy $JPM\nJimLebenthal—buy $PFE it's buying back sh… https://t.co/hsFqalW6SA")
('2017-05-01 17:11:29', 'RT @RudyHavenstein: Keep this for the next time Jamie Dimon is being worshipped on @CNBC $JPM https://t.co/3MtfxHKiba https://t.co/RQHSu4Fr…')
('2017-05-01 17:10:58', 'RT @LaMonicaBuzz: #StupidStock Move of the Day! I think. Financials still higher despite Trump considering big bank breakup? $GS $JPM $C $B…')
('2017-05-01 17:10:44', 'Today in #dumbbeta: headline reading algos crashed $JPM on the dumb Trump headline https://t.co/vmQMXNj5Hc')
('2017-05-01 17:09:45', 'RT @HCPG: last 3 mins $JPM   LOL https://t.co/HHJdqoarhT')
('2017-05-01 17:09:05', '@HalftimeReport @POTUS @realDonaldTrump @VP @stevenmnuchin1 $JPM Yeah @potus lets break up the big banks - the ONLY… https://t.co/YVzvb2lppC')
('2017-05-01 17:08:13', 'President opens mouth, banks slip https://t.co/WADyjBxPld $GS $MS $JPM $C #sitifatimah #malaysia #financialplanning')
('2017-05-01 17:07:52', "RT @Hotpage_News: TRUMP SAYS He's Considering Breaking Up Wall Street Banks $C $JPM $BAC $WFC - BLOOMBERG https://t.co/6qvkTPdxc6")
('2017-05-01 17:07:19', 'Another mass media idiocy 1 second "panic" with teenager algo coders with banks wires. Lot of worry: $JPM +0.4% $GS… https://t.co/xJ2NR8Q9uF')
('2017-05-01 17:07:19', "StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/lOlqX9HWOO\n\n$JPM")
('2017-05-01 17:07:08', 'RT @HCPG: last 3 mins $JPM   LOL https://t.co/HHJdqoarhT')
('2017-05-01 17:06:45', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 17:05:26', '$SPY $GS $JPM $C $BAC WFC  #Trump says in Bloomberg interview that he is actively considering breaking up big banks')
('2017-05-01 17:05:05', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 17:04:48', 'Hm... $JPM $C $BAC look em up https://t.co/a7UX2V2kDy')
('2017-05-01 17:04:38', 'President opens mouth, banks slip https://t.co/CYb9fyjtYg $GS $MS $JPM $C')
('2017-05-01 17:04:37', 'President opens mouth, banks slip https://t.co/0VKhx3FGdf $GS $MS $JPM $C')
('2017-05-01 17:04:31', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 17:04:27', '#StupidStock Move of the Day! I think. Financials still higher despite Trump considering big bank breakup? $GS $JPM $C $BAC &amp; $XLF ETF up.')
('2017-05-01 17:04:25', "@HalftimeReport @POTUS Dear @realDonaldTrump @potus\n\nAre YOU F'ing NUTS!!!!!!!!!!!!!!!\n\n@vp @stevenmnuchin1 $jpm… https://t.co/M3JzNDPGBq")
('2017-05-01 17:04:18', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 17:04:06', 'RT @HCPG: last 3 mins $JPM   LOL https://t.co/HHJdqoarhT')
('2017-05-01 17:03:39', "RT @StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 17:03:37', "StockTwits: Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/P0MlbNerHR\n\n$JPM")
('2017-05-01 17:03:12', "Here's how JP Morgan traded after the 'Trump considering breaking up banks' news hit: https://t.co/WuFbm9Jbom\n\n$JPM")
('2017-05-01 17:01:57', '@HalftimeReport Ask Josh what the hell was this&gt;&gt; $JPM \n\nIF @Potus you caused this - SHAME ON YOU! https://t.co/NAk9JaqfQE')
('2017-05-01 17:01:31', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 17:01:29', '$GS $BAC $C $WFC $JPM Trump weighs breaking up Wall Street banks, Bloomberg reports')
('2017-05-01 17:00:56', "TRUMP SAYS He's Considering Breaking Up Wall Street Banks $C $JPM $BAC $WFC - BLOOMBERG https://t.co/SrnF9JCGM3")
('2017-05-01 17:00:56', "TRUMP SAYS He's Considering Breaking Up Wall Street Banks $C $JPM $BAC $WFC - BLOOMBERG https://t.co/6qvkTPdxc6")
('2017-05-01 16:58:20', "RT @GerberKawasaki: Don't worry Trump isn't going to break up any bank. He can't do anything. More bluster. $XLF $GS $JPM")
('2017-05-01 16:58:18', 'For the Goldman conspiracy theorists, note that most "bank break-up" scenarios would have minimal impact on $GS, bu… https://t.co/C7rFA88jFU')
('2017-05-01 16:57:55', 'RT @HCPG: last 3 mins $JPM   LOL https://t.co/HHJdqoarhT')
('2017-05-01 16:57:47', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:57:30', "$C $GS $WFC $JPM bouncing because this isn't news or because people don't believe Trump will follow through?")
('2017-05-01 16:57:30', 'Am I the only 1 that thinks Trump breaking up the big banks could be accretive? Lower regulatory costs of capital $BAC $JPM $C $WFC $MS $GS')
('2017-05-01 16:57:25', 'Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:57:03', 'And with that $jpm, $bac and others head lower quick. https://t.co/UDP0VqfgWH')
('2017-05-01 16:56:48', "Don't worry Trump isn't going to break up any bank. He can't do anything. More bluster. $XLF $GS $JPM")
('2017-05-01 16:56:29', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:56:22', 'buy the bank dips everywhere.  $XLF $BAC $JPM $C all of em')
('2017-05-01 16:56:18', '@realDonaldTrump ACTIVELY CONSIDERING #BREAKING UP #BIG #BANKS @stevenmnuchin1 @MariaBartiromo @jimcramer… https://t.co/deyg9hgHqR')
('2017-05-01 16:55:07', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:54:58', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:54:49', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:54:49', 'RT @HCPG: last 3 mins $JPM   LOL https://t.co/HHJdqoarhT')
('2017-05-01 16:54:30', 'RT @HCPG: last 3 mins $JPM   LOL https://t.co/HHJdqoarhT')
('2017-05-01 16:54:30', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:54:22', 'last 3 mins $JPM   LOL https://t.co/HHJdqoarhT')
('2017-05-01 16:54:18', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:53:42', "*TRUMP SAYS HE'S ACTIVELY CONSIDERING BREAKING UP BIG BANKS $XLF $KRE $BAC $JPM $GS $MS")
('2017-05-01 16:53:35', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
('2017-05-01 16:53:14', 'RT @Street_Insider: Trump actively considering breaking up big banks - Bloomberg $XLF, $C, $JPM, $BAC, $WFC, $GS, $MS')
