('2017-04-17 20:01:42', 'RT @Flower_Power_67: #FastMoneyEspresso\nFINAL CALLS:\nTerranova‰ÛÓbuy $V\nWeiss‰ÛÓbuy airlines\nBrown‰ÛÓbuy $JPM\nNajarian‰ÛÓbuy $RF aggressive call bu‰Û_'),,,,,,,,,,
('2017-04-17 19:57:26', 'Goldman Sachs Stock History: How the Investment Bank Came to Rule Wall Street https://t.co/JQU6Djs0N2 $GS $JPM $C https://t.co/QkbudJKKTV'),,,,,,,,,,
('2017-04-17 19:48:21', 'Top stocks leading the Dow: $BA $JPM $NKE $GS $UNH https://t.co/DZnBdXnQI6'),,,,,,,,,,
('2017-04-17 19:47:43', 'Our analysis on the overall financial sector as of today.  Coming soon are $JPM $WFC $C earnings reactions.  https://t.co/rS70tf2x8y'),,,,,,,,,,
('2017-04-17 19:43:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Pg5UVqEfKO'),,,,,,,,,,
('2017-04-17 19:43:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/PKEtqsaUt9'),,,,,,,,,,
('2017-04-17 19:42:30'," ""RT @StockTwits: 29 companies have already reported Q1 2017 earnings. Here's a list to catch you up: https://t.co/zfR26OJNjL\n\n$JPM  $WFC $NK‰Û_"")",,,,,,,,,,
('2017-04-17 19:40:04', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/4TXOdhKxXK'),,,,,,,,,,
('2017-04-17 19:40:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/VTyKJJvsYA'),,,,,,,,,,
('2017-04-17 19:37:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/QXH9H7jk8a'),,,,,,,,,,
('2017-04-17 19:35:55', 'If I had to buy options for $BAC ER, it would be a $19 strike put. $WFC $JPM $XLF Live Streamed Daytrading Chatroom: https://t.co/jKTHAXDrmW'),,,,,,,,,
('2017-04-17 19:29:10', 'RT @WallStJesus: _ÙÓ´ACTIVE FLOW &gt;&gt; $BAC $AAPL $NFLX $AMD FB $TSLA $JPM $AMZN $C $WFC $X $ILG $BABA $RF $MU $TWTR $F $MSFT $SBUX $GS https://t‰Û_'),,,,,,,,,,
('2017-04-17 19:26:13', '10 yr back to 2.25. Wanna see it head to 2.3+. That should rally the financials nicely. This could be the bottom $jpm $bac $gs $c'),,,,,,,,,,
('2017-04-17 19:25:02', 'RT @yaani_numbers: I think that sounds bullish for US equities $aapl $bac $jpm $wfc $spy $xom $cvx $dvn $nflx $fb https://t.co/xnpp0kZMuW'),,,,,,,,,,
('2017-04-17 19:19:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/PyHPMMu3uz'),,,,,,,,,,
('2017-04-17 19:19:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/XZNhS8NmWi'),,,,,,,,,,
('2017-04-17 19:11:23', 'JPMorgan Chase &amp; Co.‰Ûªs $JPM ‰ÛÏMarket Perform‰Ûù Rating Reaffirmed at Keefe, Bruyette &amp; Woods https://t.co/dxsYNoxqpv'),,,,,,,,,
('2017-04-17 19:03:43', 'I think that sounds bullish for US equities $aapl $bac $jpm $wfc $spy $xom $cvx $dvn $nflx $fb https://t.co/xnpp0kZMuW'),,,,,,,,,,
('2017-04-17 19:01:04', '$JPM $C:\n\nEarnings: Bank Of America, Goldman Sachs, And Morgan Stanley ‰Û_:\n\nhttps://t.co/6LYuwzmwis'),,,,,,,,
('2017-04-17 19:00:44'," ""#JPMorganChase J.P. Morgan Enlists the 'Property Brothers' to Revive Its Home Loan Business. Read more: https://t.co/RsoJlJTmWt $JPM"")",,,,,,,,,,
('2017-04-17 18:53:47', 'Retweeted Penny Stocks Momo (@PennyStocksMomo):\n\nBLOCK TRADE: $JPM 750,000 shares @ $84.98 [11:13:00] #BlockTradeAlert'),,,,,,,,,
('2017-04-17 18:53:47', 'Retweeted Breaking News (@newswelldone):\n\n$JPM $WFC:\n\nPre-Earnings Options Volume Picks Up on Bank of America ‰Û_:... https://t.co/bvpAgv4KNc'),,,,,,,,,,
('2017-04-17 18:53:40', 'RT @newswelldone: $JPM $WFC:\n\nPre-Earnings Options Volume Picks Up on Bank of America ‰Û_:\n\nhttps://t.co/x46H5BgN7t'),,,,,,,,,,
('2017-04-17 18:52:54', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/d‰Û_'),,,,,,,,,,
('2017-04-17 18:51:03', '$JPM $WFC:\n\nPre-Earnings Options Volume Picks Up on Bank of America ‰Û_:\n\nhttps://t.co/x46H5BgN7t'),,,,,,,,,,
('2017-04-17 18:34:40', 'Earnings Reports To Watch This Week For 3 Dividend Paying Firms $IBM $JNJ $VZ Also $C $JPM $T https://t.co/8COtW3ugVd'),,,,,,,,,,
('2017-04-17 18:32:09', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/dkPTQLPwje'),,,,,,,,,,
('2017-04-17 18:29:37', '$jpm weekly 85.5 calls really cheap here @ .42. Stock up .9% and the calls are red. Good Delta, especially as we head toward more earnings'),,,,,,,,,
('2017-04-17 18:29:31', '$JPM could easily negate its intermediate-term downtrend w/ a Weekly Bull Flag trigger. Currently $87 is that level https://t.co/m0Ujf8lHDS'),,,,,,,,,,
('2017-04-17 18:20:33', 'Keefe, Bruyette &amp; Woods Boosts JPMorgan Chase &amp; Co. $JPM Price Target to $47.00 https://t.co/pTv7ZWf4qA'),,,,,,,,,
('2017-04-17 18:16:53'," ""#JPMorganChase CREDIT SUISSE: organ set 'a high bar' for banks with its latest earnings report. Read more: https://t.co/9tpK559Pna $JPM"")",,,,,,,,,,
('2017-04-17 18:16:08', 'JPMorgan Chase &amp; Co.  Boost Price Target by Keefe Bruyette (Ranked 2nd) to $47 as Buy $JPM #JPM https://t.co/6n85zo60jU'),,,,,,,,,,
('2017-04-17 18:13:03', 'Big Banks $bac $jpm $c $wfc Declare War on Venmo $pypl maybe the downside is 4 $v $ma if u can pay 4 everything? \nhttps://t.co/3o8pmAnZIR'),,,,,,,,,,
('2017-04-17 18:10:16', 'Smartest Guys on the Street (GS Earnings)  https://t.co/bGbgZYdRty  $GS #Earnings Preivew $XLF $BAC $JPM $BLK $C $MS'),,,,,,,,,,
('2017-04-17 18:04:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/LDw7NTXFQx'),,,,,,,,,,
('2017-04-17 18:02:22', 'RT @TweetsMillenia: Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.A $GOOG‰Û_'),,,,,,,,,,
('2017-04-17 17:59:35', '13:53 ET Volume Leader #13 - JPM 11,607,933 JP Morgan Chase &amp; Co $JPM 85.06 +0.66 +0.78% High today of 85.20 d https://t.co/nZFYGGD1Hy'),,,,,,,,
('2017-04-17 17:58:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/EHixKfiZm0'),,,,,,,,,,
('2017-04-17 17:53:55', 'RT @TweetsMillenia: Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.A $GOOG‰Û_'),,,,,,,,,,
('2017-04-17 17:52:30', 'RT @adsslondon: JP Morgan beats Q1 Earnings expectations with Sales &amp; Trading Revenue posting at $1.61BN @jpmorgan  $JPM \n\nShare price up 0‰Û_'),,,,,,,,,,
('2017-04-17 17:51:37', 'RT @trigtrader: Remember ...\n\nFeb 11, 2016: CEO Jamie Dimon buys 500K shares\n\nMar 17, 2016: $JPM announces $1.9B boost to buyback plan'),,,,,,,,
('2017-04-17 17:51:20'," ""JPMorgan Chase &amp; Co.'s PT raised by Keefe"," Bruyette &amp; Woods to $47.00. buy rating. https://t.co/fvceJ8vwLm $JPM #JPM"")",,,,,,,,,
('2017-04-17 17:51:01', 'On The Fly: What to watch in Bank of America earnings report $BAC $JPM https://t.co/2SS9cGhcAA'),,,,,,,,,,
('2017-04-17 17:50:36', 'RT @adsslondon: JP Morgan beats Q1 Earnings expectations with Sales &amp; Trading Revenue posting at $1.61BN @jpmorgan  $JPM \n\nShare price up 0‰Û_'),,,,,,,,,,
('2017-04-17 17:50:31', 'RT @TweetsMillenia: Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.A $GOOG‰Û_'),,,,,,,,,,
('2017-04-17 17:49:46', 'Keefe, Bruyette &amp; Woods Boosts JPMorgan Chase &amp; Co. $JPM Price Target to $47.00 https://t.co/H9za2mztRg'),,,,,,,,,
('2017-04-17 17:49:44', 'Keefe, Bruyette &amp; Woods Boosts JPMorgan Chase &amp; Co. $JPM Price Target to $47.00 https://t.co/GVARzaMq1M'),,,,,,,,,
('2017-04-17 17:48:11', 'Keefe, Bruyette &amp; Woods Boosts JPMorgan Chase &amp; Co. $JPM Price Target to $47.00 https://t.co/XwMHS1f7Gt #stocks'),,,,,,,,,
('2017-04-17 17:44:18'," ""Q1'17 Results for $JPM #JPMorgan", $C #Citigroup," and $WFC  #WellsFargo Broadly Reflected -https://t.co/n4Yr4RBxdG"")",,,,,,,,
('2017-04-17 17:44:14', 'RT @TweetsMillenia: Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.A $GOOG‰Û_'),,,,,,,,,,
('2017-04-17 17:43:17', 'MUST READ: Stock up on $1.4 billion contract announced: https://t.co/F49kF8WydZ $JPM $DUK $HLF $BBEPQ $TVIX $ULTA $LO $AXAS $ECL $DOV'),,,,,,,,,,
('2017-04-17 17:33:55', 'The Big Short by Michael Lewis: https://t.co/VE802GAvhc $GS $CS $C $JPM $BAC $SPY $VIX #stocks'),,,,,,,,,,
('2017-04-17 17:33:49', 'RT @TweetsMillenia: Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.A $GOOG‰Û_'),,,,,,,,,,
('2017-04-17 17:33:02'," ""#JPMorganChase J.P. Morgan Asset Management's assets rise 4% in quarter"," sees inflows of $9 ... Read more: https://t.co/tPz6qNMjoQ $JPM"")",,,,,,,,,
('2017-04-17 17:32:27', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w'),,,,,,,,,,
('2017-04-17 17:31:30', 'RT @WallStJesus: _ÙÓ´ACTIVE FLOW &gt;&gt; $BAC $AAPL $NFLX $AMD FB $TSLA $JPM $AMZN $C $WFC $X $ILG $BABA $RF $MU $TWTR $F $MSFT $SBUX $GS https://t‰Û_'),,,,,,,,,,
('2017-04-17 17:29:34'," ""$JPM Dimon: Taxpayers", stole your $ via TARP. Employees, cont to take yours' via buybacks! Get over it," nothing you can do! Enjoy serfdom!"")",,,,,,,
('2017-04-17 17:25:11', 'RT @WallStJesus: _ÙÓ´ACTIVE FLOW &gt;&gt; $BAC $AAPL $NFLX $AMD FB $TSLA $JPM $AMZN $C $WFC $X $ILG $BABA $RF $MU $TWTR $F $MSFT $SBUX $GS https://t‰Û_'),,,,,,,,,,
('2017-04-17 17:24:22', 'RT @WallStJesus: _ÙÓ´ACTIVE FLOW &gt;&gt; $BAC $AAPL $NFLX $AMD FB $TSLA $JPM $AMZN $C $WFC $X $ILG $BABA $RF $MU $TWTR $F $MSFT $SBUX $GS https://t‰Û_'),,,,,,,,,,
('2017-04-17 17:23:12', 'RT @TweetsMillenia: Fasten your seat belts. Fear is ON. Risk OFF. $SPY Volume told that last week. $QQQ $DIA $IWM $AAPL $AMZN $BRK.A $GOOG‰Û_'),,,,,,,,,,
('2017-04-17 17:22:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/v39qKmwj1I'),,,,,,,,,,
('2017-04-17 17:22:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/7dmrHaGb2e'),,,,,,,,,,
('2017-04-17 17:21:50', '$JPM filed Form 424B2 with the SEC. Most mentioned words: notes, value, price, reference, interest'),,,,,,
('2017-04-17 17:21:44', 'RT @WallStJesus: _ÙÓ´ACTIVE FLOW &gt;&gt; $BAC $AAPL $NFLX $AMD FB $TSLA $JPM $AMZN $C $WFC $X $ILG $BABA $RF $MU $TWTR $F $MSFT $SBUX $GS https://t‰Û_'),,,,,,,,,,
('2017-04-17 17:20:15', '_ÙÓ´ACTIVE FLOW &gt;&gt; $BAC $AAPL $NFLX $AMD FB $TSLA $JPM $AMZN $C $WFC $X $ILG $BABA $RF $MU $TWTR $F $MSFT $SBUX $GS https://t.co/v0aFjumbJQ'),,,,,,,,,,
('2017-04-17 17:18:43', 'Remember ...\n\nFeb 11, 2016: CEO Jamie Dimon buys 500K shares\n\nMar 17, 2016: $JPM announces $1.9B boost to buyback plan'),,,,,,,,
('2017-04-17 17:18:02', 'Which Large Caps Have Outperformed the Market? $AAPL $MSFT $AMZN $BRK.A $BRK.B $FB $JPM $BABA $BAC $V $MA $MRK $PEP https://t.co/C3ymu6CDDA'),,,,,,,,,,
('2017-04-17 17:16:22', 'RT @BUSINESSFIRSTAM: Fred Banyon has #tech and #financial plays $JPM $APPL https://t.co/G3aEOjLYTE .@AngieMiles .@WYCC .@WISH_TV .@CWRICHMO‰Û_'),,,,,,,,,,
('2017-04-17 17:13:59', '#FastMoneyEspresso\nFINAL CALLS:\nTerranova‰ÛÓbuy $V\nWeiss‰ÛÓbuy airlines\nBrown‰ÛÓbuy $JPM\nNajarian‰ÛÓbuy $RF aggressive call‰Û_ https://t.co/UheKVvDpRE'),,,,,,,,,,
('2017-04-17 17:11:42', 'RT @StockTwits: This is probably a record. JP Morgan says someone made a $100 MILLION trade from their smartphone: https://t.co/IhOrapfNG0‰Û_'),,,,,,,,,,
('2017-04-17 17:09:33', 'JPMorgan Chase &amp; Co. $JPM Earns ‰ÛÏNeutral‰Ûù Rating from Nomura https://t.co/IhTs1hh1H0'),,,,,,,,,,
('2017-04-17 17:06:27', 'JPMorgan Chase &amp; Co. $JPM Earns ‰ÛÏNeutral‰Ûù Rating from Nomura https://t.co/cFNaXbeLIx'),,,,,,,,,,
('2017-04-17 17:02:02', '$JPM:\n\nNew SEC Filing for JPM: Form 424B2 (No. 0000891092-17-003191):\n\nhttps://t.co/fFJu8BtdJ2'),,,,,,,,,,
('2017-04-17 16:58:03', 'RT @TheStreet: Trading growth at $JPM and $C may mean wins for rivals $BAC, $GS and $MS. https://t.co/6bXxHF4MjQ'),,,,,,,,,
('2017-04-17 16:57:47', '@HalftimeReport Got in $JPM at 87 and bought some more at 84. Where do you see shares going ? #AskKevin'),,,,,,,,,,
('2017-04-17 16:56:14', 'RT @TheStreet: Trading growth at $JPM and $C may mean wins for rivals $BAC, $GS and $MS. https://t.co/6bXxHF4MjQ'),,,,,,,,,
('2017-04-17 16:55:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Bl1xDfyvlI'),,,,,,,,,,
('2017-04-17 16:49:19', 'Caxton Associates LP Acquires New Position in JPMorgan Chase &amp; Co. $JPM https://t.co/EvUJdR5C12'),,,,,,,,,,
('2017-04-17 16:48:35', 'RT @TheStreet: Trading growth at $JPM and $C may mean wins for rivals $BAC, $GS and $MS. https://t.co/6bXxHF4MjQ'),,,,,,,,,
('2017-04-17 16:37:02', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/B4GwaUPPB8'),,,,,,,,,,
('2017-04-17 16:37:01', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/Lgcfp9udzy'),,,,,,,,,,
('2017-04-17 16:34:03', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/q7xDprlHCw'),,,,,,,,,,
('2017-04-17 16:32:18'," ""J.P. Morgan's 1Q17 Couldn't Have Made It Without This https://t.co/ryIJhn9mcd $JPM $SPY $SPX-INDEX $C"")",,,,,,,,,,
('2017-04-17 16:30:55', '#JPMorganChase #organChase : appoints Jill Biden to Military and Veterans Affairs External A... Read more: https://t.co/adgMpQPHLv $JPM'),,,,,,,,,,
('2017-04-17 16:30:18', '#JPMorganChase #organChase appoints Jill Biden to Military and Veterans Affairs External Adv... Read more: https://t.co/XOyQXddfm8 $JPM'),,,,,,,,,,
('2017-04-17 16:30:03', '$JPM $84.96 (+0.66%) is a top mover.  Try our #sentiment analysis tool free: https://t.co/GvMdw1aUkZ \n#trading'),,,,,,,,,,
('2017-04-17 16:25:16'," ""Slowing Wells Fargo's Slide https://t.co/rqobEwC6E1 $C $JPM $WFC"")",,,,,,,,,,
('2017-04-17 16:24:14', 'Bank of America Q1 Earnings Preview $BAC $JPM $C - https://t.co/jz2qsR1Kky'),,,,,,,,,,
('2017-04-17 16:24:04'," ""Slowing Wells Fargo's Slide https://t.co/ZBzmN5e7NZ $C $JPM $WFC"")",,,,,,,,,,
('2017-04-17 16:23:08', 'One Put, One Call Option To Know About for JPMorgan Chase $JPM #stockoptions https://t.co/K8jofkNvMK'),,,,,,,,,
('2017-04-17 16:20:10', 'Bank of America Q1 Earnings Preview $BAC $JPM $C - https://t.co/iIHlHnbAHy'),,,,,,,,,,
('2017-04-17 16:05:04', 'RT @SeekingAlpha: The LIBOR Scandal Moves Up The Power Ladder https://t.co/x1CodkFeFa $BAC $BCS $BX $C $CME $GS $ICE $JPM'),,,,,,,,,,
('2017-04-17 16:00:05', 'These are the hottest stocks in  Stock Market, $NFLX, $AMZN, $FB, $BA, $XOM, $JPM, $PCLN: https://t.co/jGXisL3SkY https://t.co/aFlSWAiKwf'),,,
