('2017-04-17 13:47:27', 'ALERT: New MACD signal created on $JPM - Sell at 84.565 - Time: 13:47 - Strength: 10. Powered by https://t.co/4TdgjEmaUr'),,,,,
('2017-04-17 13:44:50', 'Chart of the day: #Financial sector performance $study $spy $xlf $gs $jpm https://t.co/fK3Ki0PKj6'),,,,,
('2017-04-17 13:35:54', 'RT @SharePlanner: Free weekly newsletter to make you a better trader - sign up #stocks #trading $AMZN $GS $TXMD  $JPM https://t.co/ip995RHaäó_'),,,,,
('2017-04-17 13:25:12', 'RT @OptionAlert: Largest open interest increases among single stock options for 4/17 include $BAC, $WFC, $AMD, $JPM, and $C.'),
('2017-04-17 13:17:08', 'RT @OptionAlert: Largest open interest increases among single stock options for 4/17 include $BAC, $WFC, $AMD, $JPM, and $C.'),
('2017-04-17 13:16:01', 'Largest open interest increases among single stock options for 4/17 include $BAC, $WFC, $AMD, $JPM, and $C.'),
('2017-04-17 13:12:01', '#JPMorganChase Dropbox has Received a $600 Million Credit Line from organ. Read more: https://t.co/8NZZx4kVed $JPM'),,,,,
('2017-04-17 13:06:19', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN TWTR https://t.co/jG3DvqdmL5'),,,,,
('2017-04-17 13:00:06'," ""Today's Corporate #Earnings #stockmarket #daytrading #bolsa #NYSE\n$JPM", $1.512\n$C, $1.237\n$CBSH, $0.649\n$FHN, $0.228\n$JBHT," $0.872"")"
('2017-04-17 12:58:07', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $PCLN $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.äó_'),,,,,
('2017-04-17 12:54:37', '$SPY $SPX $QQQ $IWM $PCLN $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/E9zcLuT3xN'),,,,,
('2017-04-17 12:54:02', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/oäó_'),,,,,
('2017-04-17 12:53:06', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/o3MrZZPA2J'),,,,,
('2017-04-17 12:49:59', 'RT @IOOptionsTrades: Covered Call Trade Ideas for $BA, $DAL, $HAL, $JPM, &amp; $X : https://t.co/84mRA6QWGf äó_ äó_ äó_ äó_ \n#OptionsTrading #CoveredCaäó_'),
('2017-04-17 12:47:38', 'Time-stamped 2006; where does the time go?\n\nThe State of the Art https://t.co/z5BQtMMcWF $MS $GS $JPM $WFC $DB $BAC'),,,,,
('2017-04-17 12:45:53', 'Covered Call Trade Ideas for $BA, $DAL, $HAL, $JPM, &amp; $X : https://t.co/84mRA6QWGf äó_ äó_ äó_ äó_ \n#OptionsTrading #CoveredCalls #Stocks'),
('2017-04-17 12:27:31', 'Big banks tepid pre-mkt despite green Spoos &amp;Thursday pain\n$C 58.20 +.16\n$JPM *84.45 +.05\n$GS $283.80 +.48\n$MS $40.54 -.15\n$BAC $22.40 +.06'),,,,,
('2017-04-17 12:21:43'," ""RT @yaani_numbers: For those looking to short market before it caves in", time can't be better IMO," $spy $aapl $tsla $wfc $jpm $san $xom $cväó_"")",,,
('2017-04-17 12:17:52'," ""For those looking to short market before it caves in", time can't be better IMO," $spy $aapl $tsla $wfc $jpm $san $xom $cvx $dvn $shld $fcx"")",,,
('2017-04-17 12:17:11', '$JPM Bumping Up 2017E EPS #JamesMitchell: https://t.co/wNHzwkQvxT'),,,,,
('2017-04-17 12:12:22', '$JPM JPMorgan tries TV stars, political muscle to regain mortgage footing https://t.co/GOPnPtp95k'),,,,
('2017-04-17 12:04:18', 'RT @SharePlanner: Free weekly newsletter to make you a better trader - sign up #stocks #trading $AMZN $GS $TXMD  $JPM https://t.co/ip995RHaäó_'),,,,,
('2017-04-17 11:57:21'," ""#Banks under pressure. Good results didn't materialize. Mkts discount RiskOFF environment will hurt profits $XLFäó_ https://t.co/DIspKxvVpx"")",,,,,
('2017-04-17 11:53:03', '$GS $JPM $C $WFC $.SPX:\n\nIndependent bank analyst Mike Mayo reveals his top pick:\n\nhttps://t.co/aulPOx9GGA'),,,,,
('2017-04-17 11:50:13', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/upK4m665iUäó_ https://t.co/Lhd9YWmilI'),,,,,
('2017-04-17 11:34:10'," ""BoAML on $JPM BUY it you fools. PT $99. Couldn't have made it an even $100??? https://t.co/xm3hKegd01"")",,,,,
('2017-04-17 11:22:55', 'RT @SharePlanner: Free weekly newsletter to make you a better trader - sign up #stocks #trading $AMZN $GS $TXMD  $JPM https://t.co/ip995RHaäó_'),,,,,
('2017-04-17 11:21:21', 'RT @tradingpol_info: Weekly #stockmarket update, includes topics on $SPX / $SPY $VIX / $VIXY $JPM, $C, $WFC, and more. via @seekingalpha  häó_'),
('2017-04-17 11:10:19', '#JPMorganChase Jamie Dimon teases analysts with joke about taking a Trump post on conference... Read more: https://t.co/Dq2bpbCYYm $JPM'),,,,,
('2017-04-17 11:09:05'," ""#JPMorganChase organ's -st-Quarter Earnings Boosted by Trading. Read more: https://t.co/brYtPayWHb $JPM"")",,,,,
('2017-04-17 11:07:51', '#JPMorganChase organ Rises Slightly Despite Huge Earnings Beat. Read more: https://t.co/bpJqOd0isJ $JPM'),,,,,
('2017-04-17 11:07:13', '#JPMorganChase organ, Citi and Wells post solid quarterly results. Read more: https://t.co/U5yjd91L1f $JPM'),,,,
