('2017-04-19 14:07:58', 'RT @bespokeinvest: Key charts from this post: https://t.co/JzQAGDRXkR $MS $GS $C $JPM $BAC $WFC $XLF $SPY $$ https://t.co/O4BpSh1jp5'),,,,,,,,,,,
('2017-04-19 14:07:25', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/uKnjngSKMI https://t.co/vmS6dWaRYz v‰Û_'),,,,,,,,,,,
('2017-04-19 14:05:17', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/u95DlCRQVn‰Û_ https://t.co/svpexMcaxT'),,,,,,,,,,,
('2017-04-19 14:05:14', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/YhX6drpXP8‰Û_ https://t.co/C0I3mCwW6P'),,,,,,,,,,,
('2017-04-19 14:05:14', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/CUXOuzNju2‰Û_ https://t.co/dAWnilPpL8'),,,,,,,,,,,
('2017-04-19 14:05:14', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/SC79mQUKQd‰Û_ https://t.co/v210AXJvft'),,,,,,,,,,,
('2017-04-19 14:05:14', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/Y7Jr5GGjkP‰Û_ https://t.co/Jxbz1ertEs'),,,,,,,,,,,
('2017-04-19 14:05:14', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/vI1ORbm1Sh‰Û_ https://t.co/QxZB3Ew1hh'),,,,,,,,,,,
('2017-04-19 13:59:59', 'RT @TradersCom: Morgan Stanley $MS #Earnings EPS 1.00 v 90 cents Revenue $9.7 billion v $9.1 billion.\n#banks $SPX $JPM $GS $WFC $BAC https:‰Û_'),,,,,,,,,,,
('2017-04-19 13:57:30', 'bespokeinvest: Key charts from this post: https://t.co/00vNybxvXC $MS $GS $C $JPM $BAC $WFC $XLF $SPY $$ https://t.co/CPpbQQyFHS'),,,,,,,,,,,
('2017-04-19 13:56:34', 'RT @bespokeinvest: Key charts from this post: https://t.co/JzQAGDRXkR $MS $GS $C $JPM $BAC $WFC $XLF $SPY $$ https://t.co/O4BpSh1jp5'),,,,,,,,,,,
('2017-04-19 13:55:18', 'Morgan Stanley $MS #Earnings EPS 1.00 v 90 cents Revenue $9.7 billion v $9.1 billion.\n#banks $SPX $JPM $GS $WFC $BAC https://t.co/g4EqrOTidO'),,,,,,,,,,,
('2017-04-19 13:54:34', 'Key charts from this post: https://t.co/JzQAGDRXkR $MS $GS $C $JPM $BAC $WFC $XLF $SPY $$ https://t.co/O4BpSh1jp5'),,,,,,,,,,,
('2017-04-19 13:53:13', 'Benzinga: Your Big Bank Q1 Earnings Roundup https://t.co/aRx8X7UbdF $BAC $C $GS $MS $JPM $WFC $XLF'),,,,,,,,,,,
('2017-04-19 13:52:01', 'Your Big Bank Q1 Earnings Roundup https://t.co/Kj1Uf9G75i $BAC $C $GS $MS $JPM $WFC $XLF'),,,,,,,,,,,
('2017-04-19 13:51:05', 'JPMorgan Chase &amp; Co. $JPM to Post Q2 2017 Earnings of $1.59 Per Share, Jefferies Group Forecasts https://t.co/kKe3XYorF4'),,,,,,,,,,
('2017-04-19 13:47:44', '$GS 217$ today is up thanks $JPM https://t.co/MrMIuImrAW'),,,,,,,,,,,
('2017-04-19 13:33:30'," ""Sadly"," it's sometimes what's not disclosed that's most relevant!\n$ibm $vrx $agn $twtr $msft $iep $aapl $ko $pep $crm $jpm $bac $wfc $tst $fb"")",,,,,,,,,,
('2017-04-19 13:32:38', 'JPMorgan to Sell $6.9 Billion of Student Loans to Navient https://t.co/jg9pUlN0uQ $JPM $NAVI https://t.co/yqO4qqPtue'),,,,,,,,,,,
('2017-04-19 13:32:37', 'JPMorgan accused of fraud over tech company sale https://t.co/NYQi7MIm1q $JPM https://t.co/3hLWe1T1cc'),,,,,,,,,,,
