('2017-04-21 14:11:26', 'RT @WallStCynic: @IgorGolynkin $NFLX on and off-balance sheet obligations continue to grow 2x revenue growth. And they changed their amorti‰Û_')
('2017-04-21 14:11:18', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:11. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:10:41', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:10. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:09:12', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:09. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:08:01', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:08. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:07:28', '$NFLX potential for DownRev here. Could be nasty')
('2017-04-21 14:07:08', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:07. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:07:00', '$NFLX nice over that $141.75 was the level!  for a long ...')
('2017-04-21 14:06:00', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:06. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:05:24', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:05. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:05:19', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/Yycairc0fy $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:04:16', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:04. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:03:14', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:03. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:03:13', 'Should You Buy #Netflix Stock Now After The Recent Sell-Off? $NFLX @AbhishekSanat https://t.co/jaT3d2LXAB')
('2017-04-21 14:01:30', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/vT9HmoiNbp $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 14:01:18', '$NFLX rallying')
('2017-04-21 14:00:57', 'RT @tradewithjoe: Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GL‰Û_')
('2017-04-21 14:00:50', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 10:00. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 14:00:05', 'Turning 1k into 100k - details here:\n\nhttps://t.co/upDpfLpMkH\n\n$SPY $IWM $VIX $UVXY $FB $AAPL $NFLX $BABA $PCLN $BBRY $GLD $GDX $GDXJ $USO')
('2017-04-21 13:58:54', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:58. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:57:53', 'RT @TraderMentality: Food for thought. FANG names intrigue me. Rising wedge? Channel up? Neg divs. Bullish or bearish case? Whatll ya have?‰Û_')
('2017-04-21 13:55:37', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:55. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:55:12', 'A great #business #idea is to use #twitter to #talk about your #brand https://t.co/SOm8rjvuBZ $hyg $nflx $vz $xom #FridayBlogs #NYC')
('2017-04-21 13:54:16', '@IgorGolynkin (4) Which of course will stop the growth. $NFLX is now a network not a disruptive portal. In effec‰Û_ https://t.co/2xsB7MIbPK')
('2017-04-21 13:54:00', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:54. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:53:32', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:53. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:52:02', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:52. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:51:13', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:51. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:51:08', 'Q2 2017 EPS Estimates for Netflix Inc. Lifted by Analyst $NFLX https://t.co/pPiwm1b1uy')
('2017-04-21 13:50:13', '$NFLX out of the channel now.. wait to see if builds')
('2017-04-21 13:50:03', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:50. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:49:07', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:49. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:48:28', '@IgorGolynkin $NFLX on and off-balance sheet obligations continue to grow 2x revenue growth. And they changed their‰Û_ https://t.co/EHX4hA6Sck')
('2017-04-21 13:47:57', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:47. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:46:54'," 'RT @FoxBusiness: What does Amazon\'s $50 million ""Thursday Night Football"" deal mean for the streaming wars? $NFLX  https://t.co/ATgV3kNNrE')"
('2017-04-21 13:46:34', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:46. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:45:52', 'In our opinion $NFLX has bottomed yesterday and confirmation can come today. It can easily go back to $144-$145... https://t.co/FBAXO51PHx')
('2017-04-21 13:45:05', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:45. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:44:05', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:44. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:43:31'," 'RT @FoxBusiness: What does Amazon\'s $50 million ""Thursday Night Football"" deal mean for the streaming wars? $NFLX  https://t.co/ATgV3kNNrE')"
('2017-04-21 13:43:28', 'Q2 2017 EPS Estimates for Netflix Inc. $NFLX Decreased by Analyst https://t.co/ag9VsQWAvC')
('2017-04-21 13:43:02', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:43. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:42:34', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:42. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:42:22', 'Q2 2017 EPS Estimates for Netflix Inc. $NFLX Decreased by Analyst https://t.co/10u9NbgR6X')
('2017-04-21 13:42:20', 'Q2 2017 EPS Estimates for Netflix Inc. Cut by Analyst $NFLX https://t.co/vuGCQnaxvS')
('2017-04-21 13:42:19', 'Netflix Inc. $NFLX to Post Q2 2017 Earnings of $0.15 Per Share SunTrust Banks Forecasts https://t.co/q2QPcvIWdq')
('2017-04-21 13:42:18', 'Wedbush Brokers Decrease Earnings Estimates for Netflix Inc. $NFLX https://t.co/vNZGh1fiK1')
('2017-04-21 13:42:01'," 'RT @FoxBusiness: What does Amazon\'s $50 million ""Thursday Night Football"" deal mean for the streaming wars? $NFLX  https://t.co/ATgV3kNNrE')"
('2017-04-21 13:41:35', 'RT @TradingGuru: RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:41. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX‰Û_')
('2017-04-21 13:41:17', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:41. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:40:19', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:40. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:40:00'," 'What does Amazon\'s $50 million ""Thursday Night Football"" deal mean for the streaming wars? $NFLX  https://t.co/ATgV3kNNrE')"
('2017-04-21 13:39:04', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:39. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:38:17', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:38. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:37:08', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:37. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:36:49', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:36. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:35:32', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:35. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:34:21', 'RT $TSLA HFT Algos triggered SELL in SIGMA-X CROSSFINDER ATS LX @ 09:34. P/T 295.00 $MSFT $PCLN $TWTR $GOOG $AMZN $NFLX $FB $AAPL $QQQ')
('2017-04-21 13:33:54', 'Richard N. Barton Sells 2000 Shares of Netflix Inc. $NFLX Stock https://t.co/plELmoZMvu')
