('2017-05-02 11:48:58'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:48:17'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:48:07'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:47:53'," ""RT @ValaAfshar: 2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:47:10'," ""2000: Blockbuster could've bought @Netflix for $50M\n\n2017: $NFLX market cap is $67 Billion https://t.co/J9TDlUFnzr"")",,,,,,,,,,,,,,,,
('2017-05-02 11:44:12', 'Q2 2017 Earnings Estimate for Netflix Inc. $NFLX Issued By FBR &amp; Co https://t.co/i6eQKnEn8c'),,,,,,,,,,,,,,,,
('2017-05-02 11:42:37'," ""FANG Group Gets A New Addition - Cramer's Mad Money (5/1/17) https://t.co/hKsG0mWHt6 $FB $AMZN $NFLX $GOOG $AAPL $IBM $OCLR $XLNX $JCI"")",,,,,,,,,,,,,,,,
('2017-05-02 11:20:22', 'Cantor Fitzgerald Boosts Netflix Inc. $NFLX Price Target to $165.00 https://t.co/T79rHCVMAe'),,,,,,,,,,,,,,,,
('2017-05-02 11:15:01', '$NFLX Max Pain = 152.50. Maturity = 05/05/2017. Previous close = 155.35.  https://t.co/EwFIXPQqmk https://t.co/HACZQSl74g'),,,,,,,,,,,,,,,,
('2017-05-02 11:05:15', 'RT @DailyCaller: The New ‰Û÷House Of Cards‰Ûª Season 5 Trailer Is Exactly What You‰Ûªve Been Waiting For https://t.co/TmudmLJe0i #HouseOfCards #N‰Û_'),,,,,,,,,,,,,,,,
