('2017-04-26 22:34:18', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/4mJzTXVIW7\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-26 22:34:18', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/p4kvcRzFM1\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-26 22:34:18', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/M4atUQr2Zu\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-26 22:34:18', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/02a8LnzvOL\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-26 22:33:56', '$XLK remind me again do we buy or sell tops? $NFLX $FB $TWTR $AAPL $TSLA $GOOG $AMZN $SNAP $FB $TWTR Todays Trades https://t.co/AAUxpn3lAG')
('2017-04-26 22:29:58'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/l4tbITJ7a0"")"
('2017-04-26 22:24:36', 'STM -IMHO stock of the year! $AAPL https://t.co/Wyr8SF8c9D TV_TradingIdeas')
('2017-04-26 22:24:19', '#Apple \nApple relative Daily #Volatility Spiking vs #SP500 (daily ratio VXAP / #VIX ) b4 earnings $AAPL #Tradingâ€_ https://t.co/Smk4UCpGHY')
('2017-04-26 22:22:07'," ""Alleged 'iPhone 8' schematic shows wireless charging pad no rear Touch ID https://t.co/SZrBe60Nq7 #AppleInsiderâ€_ https://t.co/Oi5vAqmosX"")"
('2017-04-26 22:21:14', 'STM -IMHO stock of the year! $AAPL https://t.co/2FPRAD5k2L')
('2017-04-26 22:19:22', 'iPhone To Be Squeezed In All Chinese Market Segments In 2017 $AAPL https://t.co/PtrJBCNMrC')
('2017-04-26 22:16:53', 'RT @optioncharts: $AAPL OI for maturity 04/28/2017. 140.00 Highest put. 145.00 Highest call. https://t.co/xjkCQEp6Rw https://t.co/3jGwxdaPAJ')
('2017-04-26 22:16:05', '#Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock')
('2017-04-26 22:15:05', '#Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock')
('2017-04-26 22:14:46'," ""RT @appleinsider: Editorial: A very false narrative: Samsung Galaxy S8 vs Apple's iPhone @danieleran $AAPL https://t.co/ijghJTNMmw https://â€_"")"
('2017-04-26 22:13:43'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/9WPOCZtdCs"")"
('2017-04-26 22:12:40'," ""Amazing trading models at Profectus Systems. Stocks ETF's. Options Futures and Forex. $SPY $AAPL $REN $MOMO $DGAZ $UGAZ $DG $TLT"")"
('2017-04-26 22:08:08'," ""RT @appleinsider: Editorial: A very false narrative: Samsung Galaxy S8 vs Apple's iPhone @danieleran $AAPL https://t.co/ijghJTNMmw https://â€_"")"
('2017-04-26 22:06:25', '#SHR International for the follow #CLOUDUNLOCK Check Out #Apple #iCloud #iPhone $AAPL for #unlock #code https://t.co/sFE120Bm7R')
('2017-04-26 22:06:17', 'Down Moves:\n-1% $EWC\n-0.9% $USO $FEZ $EWZ $EWP\n-0.8% $XLRE $XLP $IYT $SOXX\n-0.7% $JETS\n-0.6% $AAPL $XOP\n-0.4% $EEM\n-0.3% $XLU $XLE $FXE $EFA')
('2017-04-26 22:06:13', 'Imagine reading up on $Oil $AAPL $EURUSD concurrently on the same platform! https://t.co/hpDn2yz05K https://t.co/JYiLhBU8Yv')
('2017-04-26 22:04:10', '$AAPL:\n\nInside This Shocking Apple Inc. iPhone 8 Leak:\n\nhttps://t.co/oaXaDOYonu')
('2017-04-26 22:03:48', '$AAPL OI for maturity 04/28/2017. 140.00 Highest put. 145.00 Highest call. https://t.co/xjkCQEp6Rw https://t.co/3jGwxdaPAJ')
('2017-04-26 22:03:00'," ""RT @androsForm: $AAPL India Approves Apple's Incentives for Investments of $1B+ in Manufacturing -Reuters"")"
('2017-04-26 22:02:18', 'Appleâ€™s $AAPL Neutral Rating Reaffirmed at Rosenblatt Securities https://t.co/xQuzUFbuiP')
('2017-04-26 22:01:50', 'RT @DayTradersGroup: $AAPL Remember this chart from Monday? http://t.co/snblISku09 $fcx $nem $gGLD $GDX $AMZN $vxx $aig $TBT #OPTIONS')
('2017-04-26 22:00:08'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/5ji7tZVNsI"")"
('2017-04-26 21:59:33', 'RT @AdamHSchechter: Big Tech Is Taking on Diabetes @themotleyfool #stocks $AAPL $IBM $MRK $AMZN $MDT https://t.co/ZQ8AeFuI1j')
('2017-04-26 21:58:58'," ""@cirrusdriver It's why $AAPL was smart enough to borrow at almost zero interest rate to pay dividends and do buy backs"")"
('2017-04-26 21:58:22', 'Not 100% sure on quantitative stuff but:\n\nCurrently Services is the only $AAPL business to CONTINUOUSLY maintain/grow revenue leverage.')
('2017-04-26 21:55:33'," 'RT @cnntech: Apple just received a patent for a ""war situation"" device: https://t.co/GcRCeAkveE via @lisahopeking $AAPL https://t.co/nKxLHRâ€_')"
('2017-04-26 21:52:51'," 'My for-""entertainment""-purposes only horseshoe toss for $AAPL FQ2 2017 financial results due up May 2 https://t.co/qa7WPMy7CI')"
('2017-04-26 21:51:39'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link. https://t.co/sSTowGeFTk"")"
('2017-04-26 21:51:20'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/ddTd8TjZAY"")"
('2017-04-26 21:50:47', 'RT @ConsumerFeed: WP Advisors LLC Purchases Shares of 64478 Apple Inc. $AAPL https://t.co/NdEnNxbuXv')
('2017-04-26 21:50:47'," 'RT @BoardCentral: $AAPL ""Here you go: Proof of 8 patents OWCP has"" on ADFN InvestorsHub message boards: https://t.co/v1RS7nBe7h')"
('2017-04-26 21:50:47'," ""RT @RedDogT3: Today's free recap and look ahead $spx $spx $iwm $aapl $amzn $insy $auph $xle $uwt  https://t.co/MbQ9E76gsH"")"
('2017-04-26 21:50:47'," ""RT @Mwilliams8181: Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps:â€_"")"
('2017-04-26 21:50:47', 'RT @gomoneybadger: Trumpâ€™s tax plan could get companies like $AAPL and $GOOG to actually pay taxes. Hereâ€™s what it means for you: https://tâ€_')
('2017-04-26 21:50:46', 'RT @SeekingAlpha: iPhone To Be Squeezed In All Chinese Market Segments In 2017 https://t.co/3tDnQOVGSJ $BABA $JD $AAPL')
('2017-04-26 21:50:13'," ""A very false narrative: Samsung Galaxy S8 vs Apple's iPhone https://t.co/MdFuHsOACu #AppleInsider $AAPL https://t.co/CQUh99DaiG"")"
('2017-04-26 21:49:47', 'RT @AdamHSchechter: Big Tech Is Taking on Diabetes @themotleyfool #stocks $AAPL $IBM $MRK $AMZN $MDT https://t.co/ZQ8AeFuI1j')
('2017-04-26 21:40:41'," ""RT @RedDogT3: Today's free recap and look ahead $spx $spx $iwm $aapl $amzn $insy $auph $xle $uwt  https://t.co/MbQ9E76gsH"")"
('2017-04-26 21:37:21'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/A9XUSUGAEA"")"
