('2017-04-12 14:14:10', 'RT @OTCMarketsNews: $NVDA $AAPL Nvidia Corp extended its lead with the new Titan Xp Along with upcoming Mac support https://t.co/4Ki4tjQ3n1â€_')
('2017-04-12 14:13:03', '$AAPL $CRUS $AVGO $SWKS $QRVO:\n\nApple In-Sourcing Hit List To Spare Cirrus Skyworks: Analyst:\n\nhttps://t.co/2m60wvGKoN')
('2017-04-12 14:13:02', 'Fitbit Has Bigger Problems Than a Delayed Smartwatch $FIT $AAPL $GRMN - https://t.co/D0ZuPLZ2B4')
('2017-04-12 14:12:42', '$SPY #FEDS #YELLEN continue 2 dump B4 Trump shutdown? $SPX $IWM $QQQ  $GS $BAC $JPM $AMZN $FB $AAPL $GOOGL $ES_F $VIX $UVXY $GLD $USO $IBB')
('2017-04-12 14:11:08', 'Will We Hold It Wednesday - 50-Day Moving Average Edition https://t.co/sz2lSKfcfZ $AAPL #APPLE $C $CBSH $FHN $FRC $INFY $JPM $PACW $PNC')
('2017-04-12 14:11:04', '$QQQ $AAPL:\n\nWill We Hold It Wednesday â€“ 50-Day Moving Average Edition:\n\nhttps://t.co/aVC2BvCMQK')
('2017-04-12 14:10:48', '$AAPL #patent 9620686: Display light sources with quantum dots https://t.co/EgvIxRpfG5 #tech #IP https://t.co/kXcxeuInrg')
('2017-04-12 14:10:45', '@iancassel Partly disagree. Companies like $MSFT (Gates) $AAPL (Jobs) $AMZN (Bezos) are identified with founders loâ€_ https://t.co/U1Ps7J4GVY')
('2017-04-12 14:10:33', 'RT @it_tradingview: $AAPL - Apple 1D - https://t.co/dGjFHFkDd3')
('2017-04-12 14:09:39', 'Fitbit Has Bigger Problems Than a Delayed Smartwatch $FIT $AAPL $GRMN - https://t.co/9pf4XpxY5C')
('2017-04-12 14:09:09', 'Will We Hold It Wednesday - 50-Day Moving Average Edition https://t.co/KVmFuKeD9V $AAPL #APPLE $C $CBSH $FHN $FRC $INFY $JPM $PACW $PNC')
('2017-04-12 14:08:54', 'RT @SharePlanner: Be excited - success in the market is possible. Trade with me today. Start w/a Free 7-Day Trial #stocks $AAPL $CAT https:â€_')
('2017-04-12 14:07:23', 'Imagine reading up on $Oil $AAPL $EURUSD concurrently on the same platform! https://t.co/hpDn2yz05K https://t.co/FtQxI7Ki91')
('2017-04-12 14:07:13', '$AAPL good find &amp; share https://t.co/ift450lnXI')
('2017-04-12 14:06:10', '#Cannabis Companies Soaring in the Stock Market May Tap Bonds Next $SGBY #EVIOLabs $AAPL $GWPH... https://t.co/B5I8NXDitC')
('2017-04-12 14:06:09', 'Technology has not changed the business model. Technology is the business model. #aLotHasChangedIn11Years #Bigtechâ€_ https://t.co/KkTKepeM9b')
('2017-04-12 14:04:16'," ""I wonder how much brokerage's make from confused people selling calls or puts then buying them back and then reselling $twtr $spy $qqq $aapl"")"
('2017-04-12 14:03:33', '$SNAP if 1M shares traded and no breakout? Sell.... $SPY $SPX $NVDA $AMD $TWTR $GPRO $FB $AAPL $TSLA')
